"Time","Region Code","Region","Consumer Price Index (All items) 2020 base","Annotation"
"Aug.1982","00000","Japan","78.9",""
"Sep.1982","00000","Japan","80.1",""
"Oct.1982","00000","Japan","80.3",""
"Nov.1982","00000","Japan","79.6",""
"Dec.1982","00000","Japan","79.5",""
"Jan.1983","00000","Japan","79.6",""
"Feb.1983","00000","Japan","79.3",""
"Mar.1983","00000","Japan","79.7",""
"Apr.1983","00000","Japan","80.1",""
"May 1983","00000","Japan","80.9",""
"Jun.1983","00000","Japan","80.4",""
"Jul.1983","00000","Japan","80.1",""
"Aug.1983","00000","Japan","79.9",""
"Sep.1983","00000","Japan","80.8",""
"Oct.1983","00000","Japan","81.5",""
"Nov.1983","00000","Japan","81.1",""
"Dec.1983","00000","Japan","80.8",""
"Jan.1984","00000","Japan","81.1",""
"Feb.1984","00000","Japan","81.6",""
"Mar.1984","00000","Japan","81.7",""
"Apr.1984","00000","Japan","81.9",""
"May 1984","00000","Japan","82.5",""
"Jun.1984","00000","Japan","81.9",""
"Jul.1984","00000","Japan","82.1",""
"Aug.1984","00000","Japan","81.4",""
"Sep.1984","00000","Japan","82.7",""
"Oct.1984","00000","Japan","83.2",""
"Nov.1984","00000","Japan","82.8",""
"Dec.1984","00000","Japan","83.0",""
"Jan.1985","00000","Japan","83.2",""
"Feb.1985","00000","Japan","82.9",""
"Mar.1985","00000","Japan","83.2",""
"Apr.1985","00000","Japan","83.8",""
"May 1985","00000","Japan","83.9",""
"Jun.1985","00000","Japan","83.9",""
"Jul.1985","00000","Japan","84.1",""
"Aug.1985","00000","Japan","83.9",""
"Sep.1985","00000","Japan","84.0",""
"Oct.1985","00000","Japan","84.8",""
"Nov.1985","00000","Japan","84.1",""
"Dec.1985","00000","Japan","84.2",""
"Jan.1986","00000","Japan","84.5",""
"Feb.1986","00000","Japan","84.4",""
"Mar.1986","00000","Japan","84.3",""
"Apr.1986","00000","Japan","84.6",""
"May 1986","00000","Japan","84.8",""
"Jun.1986","00000","Japan","84.4",""
"Jul.1986","00000","Japan","84.2",""
"Aug.1986","00000","Japan","84.0",""
"Sep.1986","00000","Japan","84.4",""
"Oct.1986","00000","Japan","84.5",""
"Nov.1986","00000","Japan","84.1",""
"Dec.1986","00000","Japan","83.9",""
"Jan.1987","00000","Japan","83.6",""
"Feb.1987","00000","Japan","83.6",""
